Freq [Hz],Zreal [Ohm],Zimag [Ohm],|Z| [Ohm],Phase [Deg]
1.000,9555.333333,-644.916667,9577.072236,-3.8612
4.000,8902.750000,-2337.000000,9204.375403,-14.7085
8.000,7455.000000,-3960.500000,8441.716961,-27.9797
11.000,6351.000000,-4541.000000,7807.424800,-35.5650
15.000,4863.000000,-4772.000000,6813.277699,-44.4589
18.000,3967.000000,-4612.000000,6083.389927,-49.2996
21.000,3342.000000,-4552.000000,5647.093766,-53.7145
25.000,2650.000000,-4236.000000,4996.618457,-57.9703
28.000,2251.000000,-4047.000000,4630.897321,-60.9166
32.000,1839.000000,-3735.000000,4163.189402,-63.7858
36.000,1520.000000,-3457.000000,3776.406890,-66.2655
38.000,1399.000000,-3320.000000,3602.721333,-67.1501
42.000,1173.000000,-3061.000000,3278.055826,-69.0328
45.000,1032.000000,-2900.000000,3078.152693,-70.4113
48.000,947.000000,-2762.000000,2919.837838,-71.0748
51.000,851.000000,-2624.000000,2758.546175,-72.0314
57.000,694.000000,-2406.000000,2504.091053,-73.9100
60.000,640.000000,-2315.000000,2401.837838,-74.5461
64.000,577.000000,-2177.000000,2252.167401,-75.1554
68.000,518.000000,-2065.000000,2128.978394,-75.9181
72.000,468.000000,-1957.000000,2012.181155,-76.5508
76.000,427.000000,-1866.000000,1914.232222,-77.1108
81.000,381.000000,-1763.000000,1803.698977,-77.8054
86.000,346.000000,-1666.000000,1701.549882,-78.2674
91.000,314.000000,-1585.000000,1615.803515,-78.7944
96.000,286.000000,-1505.000000,1531.933745,-79.2402
102.000,258.000000,-1424.000000,1447.183471,-79.7306
