Freq [Hz],Zreal [Ohm],Zimag [Ohm],|Z| [Ohm],Phase [Deg]
1.000,9555.333333,-644.916667,9577.072236,-3.8612
1231.000,11.000000,-130.000000,130.464555,-85.1634
2465.000,7.000000,-66.000000,66.370174,-83.9458
3696.000,6.000000,-44.000000,44.407207,-82.2348
4937.000,5.000000,-33.000000,33.376639,-81.3844
6222.000,5.000000,-27.000000,27.459060,-79.5085
7401.000,5.000000,-23.000000,23.537205,-77.7352
8804.000,5.000000,-19.000000,19.646883,-75.2564
9884.000,5.000000,-17.000000,17.720045,-73.6105
11097.000,5.000000,-15.000000,15.811388,-71.5651
12458.000,5.000000,-14.000000,14.866069,-70.3462
13987.000,4.000000,-12.000000,12.649111,-71.5651
14820.000,4.000000,-11.000000,11.704700,-70.0169
16638.000,4.000000,-10.000000,10.770330,-68.1986
17629.000,4.000000,-10.000000,10.770330,-68.1986
18679.000,4.000000,-9.000000,9.848858,-66.0375
19791.000,4.000000,-9.000000,9.848858,-66.0375
20970.000,4.000000,-8.000000,8.944272,-63.4349
22219.000,4.000000,-8.000000,8.944272,-63.4349
23542.000,4.000000,-7.000000,8.062258,-60.2551
24945.000,4.000000,-7.000000,8.062258,-60.2551
26430.000,4.000000,-6.000000,7.211103,-56.3099
28005.000,4.000000,-6.000000,7.211103,-56.3099
29673.000,4.000000,-6.000000,7.211103,-56.3099
31440.000,4.000000,-5.000000,6.403124,-51.3402
33312.000,4.000000,-5.000000,6.403124,-51.3402
35297.000,4.000000,-5.000000,6.403124,-51.3402
37399.000,4.000000,-5.000000,6.403124,-51.3402
39626.000,4.000000,-4.000000,5.656854,-45.0000
41987.000,4.000000,-4.000000,5.656854,-45.0000
44487.000,4.000000,-4.000000,5.656854,-45.0000
47137.000,4.000000,-4.000000,5.656854,-45.0000
49945.000,4.000000,-3.000000,5.000000,-36.8699
52919.000,4.000000,-3.000000,5.000000,-36.8699
56071.000,4.000000,-3.000000,5.000000,-36.8699
59411.000,4.000000,-3.000000,5.000000,-36.8699
62949.000,4.000000,-3.000000,5.000000,-36.8699
66699.000,4.000000,-3.000000,5.000000,-36.8699
70671.000,4.000000,-2.000000,4.472136,-26.5651
74881.000,4.000000,-2.000000,4.472136,-26.5651
79340.000,4.000000,-2.000000,4.472136,-26.5651
84066.000,4.000000,-2.000000,4.472136,-26.5651
89073.000,4.000000,-2.000000,4.472136,-26.5651
94378.000,4.000000,-2.000000,4.472136,-26.5651
100000.000,4.000000,-2.000000,4.472136,-26.5651
