Freq [Hz],Zreal [Ohm],Zimag [Ohm],|Z| [Ohm],Phase [Deg]
1.000,9555.333333,-644.916667,9577.072236,-3.8612
2.000,9454.428571,-1214.857143,9532.161218,-7.3222
3.000,9234.400000,-1890.000000,9425.828524,-11.5670
4.000,8902.750000,-2337.000000,9204.375403,-14.7085
5.000,8616.333333,-2875.000000,9083.326765,-18.4522
6.000,8192.333333,-3273.000000,8821.952984,-21.7777
7.000,7805.000000,-3629.500000,8607.630060,-24.9395
8.000,7455.000000,-3960.500000,8441.716961,-27.9797
9.000,7060.500000,-4143.000000,8186.275664,-30.4038
10.000,6667.000000,-4469.000000,8026.260026,-33.8346
12.000,5880.000000,-4626.000000,7481.595819,-38.1934
14.000,5154.000000,-4724.000000,6991.415593,-42.5074
16.000,4585.000000,-4749.000000,6601.153384,-46.0066
18.000,3967.000000,-4612.000000,6083.389927,-49.2996
21.000,3342.000000,-4552.000000,5647.093766,-53.7145
25.000,2650.000000,-4236.000000,4996.618457,-57.9703
28.000,2251.000000,-4047.000000,4630.897321,-60.9166
34.000,1692.000000,-3585.000000,3964.226154,-64.7343
38.000,1399.000000,-3320.000000,3602.721333,-67.1501
45.000,1032.000000,-2900.000000,3078.152693,-70.4113
51.000,851.000000,-2624.000000,2758.546175,-72.0314
60.000,640.000000,-2315.000000,2401.837838,-74.5461
68.000,518.000000,-2065.000000,2128.978394,-75.9181
81.000,381.000000,-1763.000000,1803.698977,-77.8054
91.000,314.000000,-1585.000000,1615.803515,-78.7944
108.000,231.000000,-1352.000000,1371.592141,-80.3042
121.000,193.000000,-1212.000000,1227.270549,-80.9521
144.000,147.000000,-1030.000000,1040.436927,-81.8777
162.000,122.000000,-919.000000,927.062565,-82.4380
193.000,93.000000,-777.000000,782.545845,-83.1747
217.000,79.000000,-695.000000,699.475518,-83.5151
258.000,62.000000,-590.000000,593.248683,-84.0011
289.000,53.000000,-529.000000,531.648380,-84.2787
344.000,42.000000,-447.000000,448.968819,-84.6323
387.000,37.000000,-399.000000,400.711867,-84.7020
460.000,29.000000,-338.000000,339.241802,-85.0961
517.000,26.000000,-302.000000,303.117139,-85.0794
615.000,21.000000,-255.000000,255.863245,-85.2921
690.000,19.000000,-228.000000,228.790297,-85.2364
821.000,16.000000,-193.000000,193.662077,-85.2609
922.000,14.000000,-172.000000,172.568827,-85.3466
1096.000,12.000000,-146.000000,146.492321,-85.3013
1231.000,11.000000,-130.000000,130.464555,-85.1634
1464.000,10.000000,-110.000000,110.453610,-84.8056
1644.000,9.000000,-98.000000,98.412398,-84.7529
1956.000,8.000000,-83.000000,83.384651,-84.4945
2327.000,7.000000,-70.000000,70.349129,-84.2894
2612.000,7.000000,-62.000000,62.393910,-83.5584
3107.000,6.000000,-53.000000,53.338541,-83.5412
3489.000,6.000000,-47.000000,47.381431,-82.7250
4150.000,6.000000,-40.000000,40.447497,-81.4692
4659.000,5.000000,-35.000000,35.355339,-81.8699
5542.000,5.000000,-30.000000,30.413813,-80.5377
6222.000,5.000000,-27.000000,27.459060,-79.5085
7401.000,5.000000,-23.000000,23.537205,-77.7352
8309.000,5.000000,-20.000000,20.615528,-75.9638
9884.000,5.000000,-17.000000,17.720045,-73.6105
11097.000,5.000000,-15.000000,15.811388,-71.5651
13200.000,5.000000,-13.000000,13.928388,-68.9625
14820.000,4.000000,-11.000000,11.704700,-70.0169
17629.000,4.000000,-10.000000,10.770330,-68.1986
19791.000,4.000000,-9.000000,9.848858,-66.0375
23542.000,4.000000,-7.000000,8.062258,-60.2551
26430.000,4.000000,-6.000000,7.211103,-56.3099
31440.000,4.000000,-5.000000,6.403124,-51.3402
35297.000,4.000000,-5.000000,6.403124,-51.3402
41987.000,4.000000,-4.000000,5.656854,-45.0000
47137.000,4.000000,-4.000000,5.656854,-45.0000
56071.000,4.000000,-3.000000,5.000000,-36.8699
62949.000,4.000000,-3.000000,5.000000,-36.8699
74881.000,4.000000,-2.000000,4.472136,-26.5651
84066.000,4.000000,-2.000000,4.472136,-26.5651
100000.000,4.000000,-2.000000,4.472136,-26.5651
